Row.names	Phylum	Class	Order	Family	Genus	Species	Confidence	ASVnos
74d1a39907e1e8dd14936f466d346e83	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9982629	ASV302
08eabbf771080c4ccf3bf2dafb7d83d9	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9998652	ASV3020
d4a98e9bd78c58d5d35ec2ce256b51a2	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.7751662	ASV3021
e3971ddca160272116f154c62ccd9f0b	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	 s__piscolens	1	ASV3022
c1a4c54c370c8b89f1f1bfdfcefe6b3c	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.7402849	ASV3023
76a1e56d16d6d6c240f29982da2aab7f	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV3024
208b683f00a107398826d249d7738ab0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	 g__Dorea	0.7750603	ASV3025
59755c30012f29707f65c2bd6b411460	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9998138	ASV3026
27ce54ab1cf651669642cf8c789d1de5	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	 g__Erysipelothrix	0.9999999	ASV3027
87cc00d8e89f4467ad79d703b1f0eebd	Tenericutes	Mollicutes	RF39	 o__RF39	 o__RF39	 o__RF39	1	ASV3028
2982b976939d330f7c46f06f3c8a7c4d	Firmicutes	Clostridia	Clostridiales	 o__Clostridiales	 o__Clostridiales	 o__Clostridiales	0.9999767	ASV3029
4d6d9c1fd80e7ef646815c88b753cdff	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	 f__Ruminococcaceae	 f__Ruminococcaceae	0.9989106	ASV303
91cac93a652f7f80faedbe901bc80b29	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	 f__Peptostreptococcaceae	 f__Peptostreptococcaceae	0.8704047	ASV3030
895252c1545e0b38a788b90a55b85b6c	Proteobacteria	Alphaproteobacteria	RF32	 o__RF32	 o__RF32	 o__RF32	1	ASV3031
7ba220d16169aeebe2efacee8fd73233	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.9658085	ASV3032
0944da83daa0a1a1d1b28462728b9e19	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	 f__Lachnospiraceae	 f__Lachnospiraceae	0.8694057	ASV3033
30333aaafa51f3df16de185654090342	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	 g__Coprococcus	0.9990565	ASV3034
6ebf9e52f2fb50404e71a05e525d2419	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	 s__luteciae	0.9627483	ASV3035
